titleId,production_companies_name
tt0012657,Hobart Bosworth Productions
tt0012675,Paramount
tt0012675,Famous Players-Lasky Corporation
tt0012685,H.O. Davis
tt0012701,Mack Sennett Comedies
tt0012708,Universal Film Manufacturing Company
tt0012709,Selznick Pictures Corporation
tt0012745,Pathé Frères
tt0012752,Douglas Fairbanks Pictures
tt0012754,William S. Hart Productions
tt0012755,United Artists
tt0012755,Mary Pickford Company
tt0012763,Inspiration Pictures
tt0012768,Famous Players-Lasky Corporation
tt0012769,Lois Weber Productions
tt0012792,Goldwyn Pictures Corporation
tt0012806,Decla-Bioscop
tt0012815,Sveafilm
tt0012828,Famous Players-Lasky Corporation
tt0012839,William S. Hart Productions
tt0012877,Famous Players-Lasky Corporation
tt0012877,Paramount
tt0012878,Universal Film Manufacturing Company
tt0012926,Warner Bros. Pictures
tt0012927,Cosmopolitan Productions
tt0012928,Cosmopolitan Productions
tt0012938,Famous Players-Lasky Corporation
tt0012949,Goldwyn Pictures Corporation
tt0012952,Paramount
tt0012952,Famous Players-Lasky Corporation
tt0012960,Paramount
tt0012961,Cosmopolitan Productions
tt0012968,Famous Players-Lasky Corporation
tt0012973,Deulig Film
tt0012973,Goron Film
tt0012975,Cosmopolitan Productions
tt0012979,Tiffany Productions
tt0013016,Paramount
tt0013033,Films A. Legrand
tt0013059,Sophus Madsen Film
tt0013075,Hal Roach Studios
tt0013084,Goldwyn Pictures Corporation
tt0013086,Uco-Film GmbH
tt0013101,Samuel Zierler Photoplay Corporation
tt0013104,Norma Talmadge Film Corporation
tt0013109,Cosmopolitan Productions
tt0013134,Irving Cummings Productions
tt0013138,Universal Film Manufacturing Company
tt0013139,Fox Film Corporation
tt0013140,Universal Film Manufacturing Company
tt0013169,Primus Film
tt0013182,J. Stuart Blackton Feature Pictures
tt0013197,Cosmopolitan Productions
tt0013201,Hal Roach Studios
tt0013205,Famous Players-Lasky Corporation
tt0013253,Universal Film Manufacturing Company
tt0013254,Goldwyn Pictures Corporation
tt0013257,Aljosha Production Company
tt0013257,SF Studios
tt0013263,Berg- und Sportfilm
tt0013284,Fox Film Corporation
tt0013332,Thomas H. Ince Corporation
tt0013356,Irving Cummings Productions
tt0013367,Houdini Picture Corporation
tt0013372,Paramount
tt0013386,Universal Pictures
tt0013388,Guazzoni film
tt0013395,Famous Players-Lasky Corporation
tt0013402,Fox Film Corporation
tt0013404,Famous Players-Lasky Corporation
tt0013427,Les Frères Revillon
tt0013433,Famous Players-Lasky Corporation
tt0013442,Prana-Film GmbH
tt0013442,Jofa-Atelier Berlin-Johannisthal
tt0013449,Paramount
tt0013450,First National Pictures
tt0013450,Jackie Coogan Productions
tt0013452,Svensk Filminspelning
tt0013455,Irvin V. Willat Productions
tt0013458,D.W. Griffith Productions
tt0013466,Paramount
tt0013469,Wörner-Filmgesellschaft
tt0013477,Paramount
tt0013487,Tiffany Productions
tt0013488,Metro Pictures Corporation
tt0013496,Uco-Film GmbH
tt0013496,Decla-Bioscop
tt0013515,Metro Pictures Corporation
tt0013525,Sawyer-Lubin Pictures Corporation
tt0013556,Douglas Fairbanks Pictures
tt0013571,Nazimova Productions
tt0013574,Famous Players-Lasky Corporation
tt0013579,Pan Film
tt0013597,Goldwyn Pictures Corporation
tt0013603,Fox Film Corporation
tt0013607,Fox Film Corporation
tt0013619,Sascha-Film
tt0013629,Paramount British Pictures
tt0013637,Universal Film Manufacturing Company
tt0013640,Marshall Neilan Productions
tt0013662,United Artists
tt0013662,Mary Pickford Company
tt0013672,Paramount British Pictures
tt0013674,Max Linder Productions
tt0013679,Realart Pictures Corporation
tt0013679,Paramount
tt0013688,Technicolor Motion Picture Corporation
tt0013688,Metro Pictures Corporation
tt0013704,Universal Film Manufacturing Company
tt0013706,Famous Players-Lasky Corporation
tt0013711,Universal Film Manufacturing Company
tt0013713,Jackie Coogan Productions
tt0013716,Metro Pictures Corporation
tt0013728,Projektions A-G Union (PAGU)
tt0013730,SF Studios
tt0013735,Fox Film Corporation
tt0013736,Pathé Consortium Cinéma
tt0013740,Goldwyn Pictures Corporation
tt0013741,Europäische Film-Allianz
tt0013741,Ernst Lubitsch-Film
tt0013750,Paramount
tt0013750,Cosmopolitan Productions
tt0013758,Paramount
tt0013758,Famous Players-Lasky Corporation
tt0013790,Famous Players-Lasky Corporation
tt0013800,Cosmopolitan Productions
tt0013802,Paramount
tt0013815,Universal Pictures
tt0013819,Nikkatsu Corporation
tt0013824,Metro Pictures Corporation
tt0013825,Emil Jannings-Film
tt0013838,B.P. Schulberg Productions
tt0013841,Norma Talmadge Film Corporation
tt0013846,Memnon Films
tt0013866,Thomas H. Ince Corporation
tt0013909,Fox Film Corporation
tt0013933,Pathé Consortium Cinéma
tt0013951,Paramount
tt0013951,Famous Players-Lasky Corporation
tt0013958,Metro Pictures Corporation
tt0013963,Fox Film Corporation
tt0013968,Phil Goldstone Productions
tt0014014,Svensk Filminspelning
tt0014021,Cosmopolitan Productions
tt0014023,Samuel Goldwyn Productions
tt0014024,Louis B. Mayer Productions
tt0014027,Paramount
tt0014028,Fox Film Corporation
tt0014050,Paramount
tt0014086,Paramount
tt0014089,Douglas MacLean Productions
tt0014096,Fox Film Corporation
tt0014108,Svenska Biografteatern
tt0014109,SF Studios
tt0014142,Universal Pictures
tt0014144,SF Studios
tt0014146,Neumann-Filmproduktion
